[顺移坐标]
A1=MAP:100,POS:115,662,NAME:玛丽娜丝渔村
A2=MAP:100,POS:132,422,NAME:盗贼洞窟
A3=MAP:100,POS:190,365,NAME:阿布洞窟
A4=MAP:100,POS:237,446,NAME:柯尔特大坑道
A5=MAP:100,POS:259,172,NAME:卡坦村
A6=MAP:100,POS:278,326,NAME:玄黄洞窟
A7=MAP:100,POS:318,429,NAME:柯尔特通路
A8=MAP:100,POS:327,633,NAME:柯奥山小洞窟
A9=MAP:100,POS:442,127,NAME:卡坦盗贼洞窟
A10=MAP:100,POS:472,298,NAME:愿藏
A11=MAP:100,POS:472,630,NAME:柯奥村
A12=MAP:100,POS:548,637,NAME:靠近水田的家
A13=MAP:100,POS:621,193,NAME:霍尔特村
A14=MAP:100,POS:637,493,NAME:萨姆吉尔村
A15=MAP:100,POS:665,235,NAME:基伊努海底信道
A16=MAP:1000,POS:105,91,NAME:便利商店
A17=MAP:1000,POS:113,38,NAME:聊天室
A18=MAP:1000,POS:119,111,NAME:出口B
A19=MAP:1000,POS:33,57,NAME:SOT柜台
A20=MAP:1000,POS:54,82,NAME:肉店
A21=MAP:1000,POS:56,124,NAME:日美子
A22=MAP:1000,POS:56,60,NAME:斗技场
A23=MAP:1000,POS:62,118,NAME:长毛象货运
A24=MAP:1000,POS:62,99,NAME:武器店
A25=MAP:1000,POS:63,112,NAME:特产品贩卖员
A26=MAP:1000,POS:66,108,NAME:道具店
A27=MAP:1000,POS:69,73,NAME:宠物店
A28=MAP:1000,POS:81,67,NAME:医院
A29=MAP:1000,POS:92,99,NAME:纪录点
A30=MAP:1000,POS:96,111,NAME:道馆
A31=MAP:1000,POS:97,45,NAME:村长家
A32=MAP:10001,POS:24,42,NAME:下楼
A33=MAP:10001,POS:40,4,NAME:出口
A34=MAP:10002,POS:16,42,NAME:上楼
A35=MAP:10002,POS:8,19,NAME:下楼
A36=MAP:10003,POS:26,26,NAME:上楼
A37=MAP:10003,POS:36,4,NAME:下楼
A38=MAP:10004,POS:23,33,NAME:下楼
A39=MAP:10004,POS:26,26,NAME:上楼
A40=MAP:10005,POS:19,27,NAME:下楼
A41=MAP:10005,POS:46,23,NAME:上楼
A42=MAP:10006,POS:14,92,NAME:下楼
A43=MAP:10006,POS:17,4,NAME:上楼
A44=MAP:10007,POS:22,35,NAME:肉店
A45=MAP:10007,POS:34,9,NAME:出口
A46=MAP:10007,POS:37,24,NAME:阿布水
A47=MAP:10007,POS:37,35,NAME:武器店
A48=MAP:10007,POS:40,48,NAME:上楼
A49=MAP:10101,POS:14,48,NAME:出口
A50=MAP:10101,POS:41,41,NAME:上楼
A51=MAP:10102,POS:13,2,NAME:上楼
A52=MAP:10102,POS:45,44,NAME:下楼
